actorId,primaryName,ratings,numVotes,count,averRating,averVote,validCount,p_index,gender,popularity
nm0829576,Kristen Stewart,"[6.8, 6.1, 5.2, 7.4, 6.5, 5.4, 6.8, 6.6, 6.8, 5.2, 7.0, 4.7, 4.9, 4.9, 5.5, 6.1, 6.7, 6.9, 6.0, 6.1, 7.5, 6.1, 6.4, 6.6, 6.2, 7.6]","[224478, 36144, 8631, 22433, 29176, 35350, 7261, 42211, 140701, 371880, 21381, 235685, 196226, 199084, 201163, 246966, 22557, 34386, 20171, 70002, 105973, 3191, 8005, 54428, 22709, 84]",29,5.586206896551723,81388.8275862069,26,7,1,10.070971
nm0000553,Liam Neeson,"[5.8, 6.6, 6.6, 6.3, 5.9, 4.8, 5.7, 5.8, 6.4, 6.1, 6.4, 6.5, 6.3, 5.0, 8.9, 6.5, 6.9, 6.1, 7.2, 7.5, 6.5, 5.7, 4.9, 5.6, 7.0, 7.6, 7.2, 5.7, 5.6, 7.1, 6.5, 8.3, 7.3, 6.8, 6.7, 7.2, 5.8, 5.9, 7.7, 7.8, 5.5, 6.7, 6.3, 6.3, 6.9, 5.8, 7.4, 6.5, 6.8, 7.1, 5.8, 7.2, 5.8, 7.0, 6.6, 6.4, 6.0, 6.1, 7.2, 7.8, 7.9, 6.2, 6.4, 8.5, 5.9]","[58, 412, 7796, 33971, 1370, 2995, 7807, 898, 51442, 10604, 8021, 2842, 1816, 1921, 985080, 24371, 36713, 7274, 26157, 34379, 607616, 6262, 62743, 29, 489, 357894, 237193, 70, 191, 44483, 97836, 1102323, 18715, 225544, 26361, 71322, 245183, 33083, 97282, 516676, 9815, 11282, 61702, 259322, 225085, 216268, 158230, 14221, 218244, 3150, 164272, 2047, 22745, 221059, 87513, 23319, 153033, 151054, 169, 77, 1063, 2952, 3832, 131, 14]",76,5.609210526315789,92208.17105263156,65,19,2,10.069337
nm0000460,Jeremy Irons,"[7.0, 7.7, 7.3, 6.3, 6.6, 7.5, 5.8, 7.3, 6.3, 7.3, 6.9, 6.9, 6.7, 6.9, 6.8, 8.5, 7.6, 6.6, 6.3, 6.9, 6.5, 3.7, 5.8, 5.4, 6.6, 6.2, 6.8, 7.0, 7.3, 7.1, 6.5, 5.1, 7.5, 7.0, 5.6, 7.2, 6.8, 7.6, 6.8, 8.3, 7.9, 8.6, 7.6, 5.8, 5.2, 6.1, 8.0, 3.6, 8.0, 7.4]","[10133, 2147, 1255, 153, 1423, 48567, 633, 32980, 161, 12360, 8480, 13606, 1882, 18384, 7397, 746726, 323117, 22171, 2840, 42717, 137638, 28999, 341, 2770, 1911, 1956, 84, 11149, 339, 31635, 47343, 113607, 1463, 46570, 29791, 36296, 53508, 25, 15143, 3626, 10, 8, 8, 147277, 5, 2841, 52, 48, 50, 24]",54,6.262962962962964,37252.75925925926,50,7,2,10.06197
nm0124930,Gerard Butler,"[4.9, 6.4, 6.2, 5.7, 7.3, 5.6, 5.5, 6.2, 7.8, 6.0, 7.7, 7.1, 4.5, 6.7, 8.1, 7.3, 5.8, 5.5, 6.5, 7.4, 7.1, 6.2, 5.7, 6.8, 7.2, 7.8, 6.5, 7.4, 5.4, 6.5, 5.4, 7.7, 5.9, 4.6]","[29067, 593, 114658, 1023, 104112, 55593, 112377, 2800, 19755, 30015, 659220, 182991, 657, 27339, 553215, 210493, 119997, 105822, 179394, 236807, 7741, 28576, 26192, 57407, 27615, 249289, 5726, 73, 46525, 222960, 82934, 633, 111724, 16]",41,5.326829268292681,88130.21951219512,34,9,2,9.983768
nm0000492,Jennifer Jason Leigh,"[5.9, 7.2, 6.7, 7.3, 5.5, 5.0, 5.3, 6.3, 6.9, 6.4, 6.7, 6.3, 7.4, 7.3, 6.4, 6.5, 7.5, 6.3, 6.0, 6.7, 6.8, 5.3, 6.4, 6.0, 6.3, 7.7, 6.8, 3.9, 6.1, 6.1, 7.1, 4.9, 5.1, 4.5, 7.2, 7.8, 6.1, 7.4]","[1535, 79168, 14095, 36947, 703, 282, 944, 4100, 4945, 6636, 6812, 26427, 32045, 69484, 3860, 2569, 3691, 3780, 4595, 2877, 83467, 19655, 2933, 730, 7650, 311119, 11255, 277, 17489, 32372, 122863, 7316, 307, 290, 50458, 379846, 1353, 28779]",40,6.027500000000002,34591.35,38,5,1,9.922198
nm0000154,Mel Gibson,"[4.5, 7.0, 6.5, 7.5, 7.6, 5.6, 7.2, 7.1, 6.3, 6.3, 6.3, 7.6, 6.0, 7.2, 5.7, 5.9, 6.8, 6.3, 6.7, 6.7, 7.0, 8.4, 6.7, 6.6, 6.7, 7.0, 5.9, 7.1, 6.6, 7.2, 6.4, 7.2, 6.7, 5.6, 6.6, 6.7, 7.0, 5.6, 6.4, 6.0]","[489, 166698, 2725, 32221, 146515, 1832, 16904, 20105, 2571, 5384, 111410, 208424, 25137, 140562, 23716, 34243, 19093, 39518, 138653, 24720, 89886, 827856, 137828, 106169, 82887, 153749, 19343, 119583, 137157, 225501, 172036, 114046, 296854, 7505, 81022, 43300, 93950, 65579, 46601, 17109]",45,5.8711111111111105,88864.02222222222,40,12,2,9.872829
nm0350453,Jake Gyllenhaal,"[7.8, 6.3, 6.7, 8.1, 5.6, 6.5, 6.4, 6.8, 7.7, 7.0, 7.7, 6.6, 6.7, 7.1, 6.8, 7.5, 7.0, 8.1, 7.4, 7.7, 6.9, 7.9, 7.0, 7.4, 7.5, 6.6, 8.1]","[70744, 5556, 12571, 651117, 27352, 40056, 363327, 39146, 282151, 154859, 355279, 241536, 157632, 96994, 50277, 424427, 68285, 469259, 183005, 200740, 124686, 361009, 18728, 54980, 169967, 148383, 106]",35,5.511428571428571,136347.77142857143,27,11,2,9.761988
nm0004851,Penélope Cruz,"[7.2, 6.5, 5.7, 5.3, 6.1, 6.1, 6.7, 6.8, 5.2, 4.9, 7.8, 6.4, 5.8, 5.9, 6.9, 5.3, 5.8, 7.6, 5.9, 6.9, 6.5, 5.7, 6.0, 7.1, 6.6, 5.8, 6.3, 5.7, 6.2, 5.1, 7.6, 5.9, 5.7, 5.8, 7.2, 6.8, 6.6, 7.4, 4.7, 6.3, 5.3, 3.9, 5.0, 6.6, 6.4, 5.8]","[8046, 10335, 204, 113, 278, 194, 452, 1413, 610, 398, 56922, 2157, 12001, 289, 3056, 9133, 788, 214196, 29862, 222113, 4965, 4441, 82771, 7055, 13309, 95859, 7905, 30926, 1812, 36275, 83456, 7808, 2489, 39519, 33993, 20458, 418490, 13494, 53909, 75470, 87856, 8, 1048, 87385, 2809, 185]",50,5.6560000000000015,35725.1,46,5,1,9.761514
nm0383603,Freddie Highmore,"[7.1, 6.0, 5.6, 6.7, 6.3, 6.6, 7.5, 2.2, 5.3, 5.8, 6.1, 6.6, 6.5, 6.1]","[12881, 28299, 4442, 360042, 28326, 75955, 94780, 8089, 6370, 414, 4910, 50911, 624, 1627]",15,5.626666666666665,45178.0,14,2,2,9.67568
nm1200692,Eva Green,"[7.2, 7.2, 5.4, 8.0, 6.2, 6.2, 6.7, 6.4, 6.2, 7.1, 6.7, 6.4, 6.7, 6.6, 5.1]","[92335, 237193, 6057, 512001, 15657, 217364, 17094, 11592, 247829, 47763, 124509, 23843, 30096, 272, 490]",17,5.770588235294119,93182.0588235294,15,5,1,9.66876
