actorId,common_movies,connection,primaryName,averRating,p_index,gender,popularity
nm0914612,"['None', 'Harry Potter and the Deathly Hallows: Part 1', 'The Tale of Despereaux', 'The Circle']","['Emma Watson', 'Daniel Radcliffe', 'Dustin Hoffman', 'Tom Hanks']",Emma Watson,6.98,20,1,9.403018
nm0413168,"['The Greatest Showman', 'Prisoners', 'None', 'Deception', 'The Front Runner', 'Swordfish', 'Scoop', 'X-Men: Days of Future Past']","['Zac Efron', 'Jake Gyllenhaal', 'Hugh Jackman', 'Ewan McGregor', 'J.K. Simmons', 'John Travolta', 'Scarlett Johansson', 'James McAvoy']",Hugh Jackman,5.782857142857143,19,2,16.229675
nm0000198,"['Dawn of the Planet of the Apes', 'The Fifth Element', 'Léon: The Professional', ""The Hitman's Bodyguard"", 'The Fifth Element', 'Child 44', 'None', ""Bram Stoker's Dracula"", 'Hunter Killer', 'Paranoia', ""Bram Stoker's Dracula"", 'State of Grace']","['Andy Serkis', 'Bruce Willis', 'Natalie Portman', 'Samuel L. Jackson', 'Milla Jovovich', 'Tom Hardy', 'Gary Oldman', 'Winona Ryder', 'Gerard Butler', 'Harrison Ford', 'Keanu Reeves', 'Robin Wright']",Gary Oldman,6.317021276595745,19,2,13.74303
nm0000191,"['Son of a Gun', 'Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode I - The Phantom Menace', 'Haywire', 'The Island', 'Star Wars: Episode III - Revenge of the Sith', 'American Pastoral', 'Deception', 'The Men Who Stare at Goats', 'None', 'Mortdecai', 'The Ghost Writer', 'Angels & Demons', 'Perfect Sense']","['Alicia Vikander', 'Natalie Portman', 'Liam Neeson', 'Michael Fassbender', 'Scarlett Johansson', 'Samuel L. Jackson', 'Dakota Fanning', 'Hugh Jackman', 'George Clooney', 'Ewan McGregor', 'Johnny Depp', 'Pierce Brosnan', 'Tom Hanks', 'Eva Green']",Ewan McGregor,6.220689655172415,19,2,9.119134
nm0000553,"['Star Wars: Episode I - The Phantom Menace', 'The Nut Job', 'None', 'Gun Shy', 'Mark Felt: The Man Who Brought Down the White House', 'Michael Collins', 'Star Wars: Episode I - The Phantom Menace', 'The Prophet', 'Ponyo', 'Seraphim Falls', 'The Dead Pool', 'Ponyo', 'A Million Ways to Die in the West', 'Kingdom of Heaven']","['Natalie Portman', 'Katherine Heigl', 'Liam Neeson', 'Sandra Bullock', 'Diane Lane', 'Julia Roberts', 'Ewan McGregor', 'Salma Hayek', 'Matt Damon', 'Pierce Brosnan', 'Clint Eastwood', 'Cate Blanchett', 'Charlize Theron', 'Eva Green']",Liam Neeson,5.609210526315789,19,2,10.069337
nm0424060,"['The Other Boleyn Girl', 'Chef', 'None', 'Captain America: The Winter Soldier', 'Scoop', 'The Island', 'A Love Song for Bobby Long', 'We Bought a Zoo', 'Lucy', 'Captain America: The Winter Soldier', 'Chef']","['Natalie Portman', 'Robert Downey Jr.', 'Scarlett Johansson', 'Samuel L. Jackson', 'Hugh Jackman', 'Ewan McGregor', 'John Travolta', 'Matt Damon', 'Morgan Freeman', 'Chris Evans', 'Dustin Hoffman']",Scarlett Johansson,5.6923076923076925,18,1,19.558434
nm1046097,"['Southpaw', 'Doctor Strange', 'A Most Wanted Man', 'Spotlight', 'Aloha', 'To the Wonder', 'Sherlock Holmes: A Game of Shadows', 'None', 'Morning Glory']","['Jake Gyllenhaal', 'Benedict Cumberbatch', 'Robin Wright', 'Mark Ruffalo', 'Emma Stone', 'Ben Affleck', 'Robert Downey Jr.', 'Rachel McAdams', 'Harrison Ford']",Rachel McAdams,6.6285714285714326,18,1,9.174288
nm0262635,"['Street Kings', 'Sunshine', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Fierce People', 'Captain America: The Winter Soldier', 'The Iceman', 'The Losers', 'Avengers: Age of Ultron', 'London', 'None', 'Fantastic 4: Rise of the Silver Surfer', 'Avengers: Age of Ultron', 'The Iceman', 'Push', 'The Iceman']","['Keanu Reeves', 'Rose Byrne', 'Scarlett Johansson', 'Mark Ruffalo', 'Diane Lane', 'Samuel L. Jackson', 'Winona Ryder', 'Idris Elba', 'Chris Hemsworth', 'Jason Statham', 'Chris Evans', 'Jessica Alba', 'Robert Downey Jr.', 'James Franco', 'Dakota Fanning', 'Michael Shannon']",Chris Evans,6.166666666666668,18,2,12.492794
nm0000242,"['Patriots Day', 'Der Weg des Ruhms', ""Daddy's Home 2"", 'Der Weg des Ruhms', 'The Departed', 'The Perfect Storm', 'The Perfect Storm', 'Pain & Gain', 'Instant Family', 'The Italian Job', 'The Departed', 'Three Kings', 'None', 'Rock Star', 'The Italian Job']","['J.K. Simmons', 'Adam Sandler', 'Mel Gibson', 'Penélope Cruz', 'Leonardo DiCaprio', 'Diane Lane', 'George Clooney', 'Dwayne Johnson', 'Rose Byrne', 'Edward Norton', 'Matt Damon', 'Ice Cube', 'Mark Wahlberg', 'Jennifer Aniston', 'Charlize Theron']",Mark Wahlberg,5.742222222222222,17,2,11.390505
nm0000204,"['Thor', 'Thor', 'None', 'Star Wars: Episode I - The Phantom Menace', 'Song to Song', 'Brothers', 'The Other Boleyn Girl', 'Star Wars: Episode III - Revenge of the Sith', 'Closer', 'Star Wars: Episode III - Revenge of the Sith', 'Léon: The Professional', 'Annihilation', 'Black Swan', ""Mr. Magorium's Wonder Emporium"", 'Knight of Cups', 'Your Highness']","['Tom Hiddleston', 'Chris Hemsworth', 'Natalie Portman', 'Liam Neeson', 'Michael Fassbender', 'Jake Gyllenhaal', 'Scarlett Johansson', 'Samuel L. Jackson', 'Julia Roberts', 'Ewan McGregor', 'Gary Oldman', 'Jennifer Jason Leigh', 'Winona Ryder', 'Dustin Hoffman', 'Cate Blanchett', 'James Franco']",Natalie Portman,5.588888888888887,17,1,12.912133
