actorId,connection,primaryName,averRating,p_index,gender,popularity
nm1631269,"['Zac Efron', 'Sam Rockwell', 'Rose Byrne', 'Chloë Grace Moretz', 'Charlize Theron', 'Kristen Stewart', 'Jessica Chastain', 'Nicolas Cage']",Chloë Grace Moretz,5.364285714285716,6,1,8.72967
nm0262635,"['Keanu Reeves', 'Rose Byrne', 'Scarlett Johansson', 'Mark Ruffalo', 'Diane Lane', 'Samuel L. Jackson', 'Winona Ryder', 'Idris Elba', 'Chris Hemsworth', 'Jason Statham', 'Chris Evans', 'Jessica Alba', 'Robert Downey Jr.', 'James Franco', 'Dakota Fanning', 'Michael Shannon']",Chris Evans,6.166666666666668,18,2,12.492794
nm0266824,"['Ewan McGregor', 'Diane Lane', 'Michelle Pfeiffer', 'Chris Evans', 'Kristen Stewart', 'Dakota Fanning', 'Julia Roberts', 'Tom Cruise', 'Michael Shannon']",Dakota Fanning,6.2259259259259245,5,1,8.449239
nm0126284,"['Zac Efron', 'Rose Byrne', 'Chloë Grace Moretz', 'J.K. Simmons', 'Jason Statham', 'Chris Evans', 'Mark Wahlberg', 'Nicolas Cage']",Rose Byrne,6.21111111111111,8,1,19.728003
nm2225369,"['Jennifer Lawrence', 'Chris Pratt', 'Michelle Pfeiffer', 'James McAvoy', 'Michael Fassbender', 'Jessica Chastain']",Jennifer Lawrence,4.503846153846156,6,1,20.898911
nm1212722,"['Alicia Vikander', 'Jake Gyllenhaal', 'Andy Serkis', 'Johnny Depp', 'Benedict Cumberbatch', 'Cate Blanchett', 'Rachel McAdams', 'Michael Shannon']",Benedict Cumberbatch,4.669230769230769,2,2,9.464394
nm0001570,"['Edward Norton', 'Matt Damon', 'Bruce Willis', 'Charlize Theron', 'Will Smith', 'Brad Pitt', 'Milla Jovovich', 'Julia Roberts', 'Mark Wahlberg']",Edward Norton,6.903846153846158,25,2,10.252544
nm0252961,"['Idris Elba', 'Gerard Butler', 'Chris Evans', 'Jessica Chastain', 'Nicolas Cage']",Idris Elba,5.903846153846152,6,2,9.527709
nm0004695,"['Salma Hayek', 'Winona Ryder', 'Josh Brolin', 'Mel Gibson', 'Bruce Willis', 'Jason Statham', 'Chris Evans', 'Jessica Alba', 'Julia Roberts', 'Pierce Brosnan']",Jessica Alba,5.647999999999999,7,1,9.392891
nm0705356,"['Keanu Reeves', 'Mary Elizabeth Winstead', 'Emma Watson', 'Daniel Radcliffe', 'James McAvoy']",Daniel Radcliffe,5.016666666666667,7,2,8.844077
nm2539953,"['Alicia Vikander', 'Ewan McGregor', 'Benedict Cumberbatch', 'Jeremy Irons', 'Matt Damon', 'James McAvoy', 'Eva Green', 'Michael Fassbender', 'Henry Cavill']",Alicia Vikander,5.831818181818181,3,1,9.242971
nm1297015,"['J.K. Simmons', 'Emma Stone', 'Rachel McAdams', 'Nicolas Cage']",Emma Stone,5.354545454545455,8,1,8.769131
nm0001337,"['Gerard Butler', 'Katherine Heigl', 'Liam Neeson']",Katherine Heigl,5.490476190476191,3,1,8.889408
nm0068338,"['Kristen Bell', 'Charlize Theron', 'Freddie Highmore', 'Nicolas Cage']",Kristen Bell,4.766666666666668,2,1,8.435428
nm1374980,"['Zac Efron', 'Dwayne Johnson', 'Rose Byrne', 'Chloë Grace Moretz', 'Claire Danes', 'Anna Kendrick', 'Hugh Jackman']",Zac Efron,5.314285714285715,3,2,10.922286999999999
nm0000132,"['Zac Efron', 'Claire Danes', 'Matt Damon', 'Winona Ryder', 'Michelle Pfeiffer', 'Arnold Schwarzenegger', 'Leonardo DiCaprio']",Claire Danes,6.360000000000001,4,1,9.361316
nm0785227,"['Gary Oldman', 'Andy Serkis', 'Benedict Cumberbatch', 'Mark Ruffalo', 'Cate Blanchett', 'Charlize Theron', 'Daniel Craig', 'James Franco']",Andy Serkis,4.824999999999998,4,2,9.053864
nm0695435,"['Jennifer Lawrence', 'Chris Pratt', 'Vin Diesel', 'Jessica Chastain']",Chris Pratt,5.000000000000001,5,2,10.228799
nm0001467,"['Jake Gyllenhaal', 'Dwayne Johnson', 'Salma Hayek', 'John Travolta', 'Jared Leto', 'Will Smith', 'Nicolas Cage']",Jared Leto,4.435294117647058,3,2,8.229861999999999
nm1200692,"['Alicia Vikander', 'Ewan McGregor', 'Johnny Depp', 'Samuel L. Jackson', 'Michelle Pfeiffer', 'Daniel Craig', 'Liam Neeson', 'Eva Green']",Eva Green,5.770588235294119,5,1,9.66876
nm1165110,"['Mark Ruffalo', 'Tom Hiddleston', 'Josh Brolin', 'Chris Hemsworth', 'Cate Blanchett', 'Charlize Theron', 'Natalie Portman', 'Chris Evans', 'Robert Downey Jr.', 'Kristen Stewart', 'Jessica Chastain', 'Michael Shannon', 'Sean Bean']",Chris Hemsworth,5.4625,7,2,16.196494
nm0383603,"['Kristen Bell', 'Johnny Depp', 'Charlize Theron', 'Freddie Highmore', 'Nicolas Cage']",Freddie Highmore,5.626666666666665,2,2,9.67568
nm0914612,"['Emma Watson', 'Daniel Radcliffe', 'Dustin Hoffman', 'Tom Hanks']",Emma Watson,6.98,20,1,9.403018
nm0935541,"['Mary Elizabeth Winstead', 'Daniel Radcliffe', 'Bruce Willis', 'Will Smith']",Mary Elizabeth Winstead,4.986666666666666,2,1,8.556833000000001
nm1089991,"['Mark Ruffalo', 'Jeremy Irons', 'Samuel L. Jackson', 'Tom Hiddleston', 'Chris Hemsworth', 'Cate Blanchett', 'Natalie Portman', 'Jessica Chastain']",Tom Hiddleston,6.192857142857143,6,2,10.487366
nm1020089,"['Sally Hawkins', 'Cate Blanchett', 'Michael Shannon']",Sally Hawkins,6.035714285714287,2,1,14.551704999999998
nm0147147,"['Alicia Vikander', 'Diane Lane', 'Ben Affleck', 'Bruce Willis', 'Michael Fassbender', 'Henry Cavill', 'Michael Shannon']",Henry Cavill,4.592307692307692,3,2,18.792114
nm3729721,"[""Dylan O'Brien""]",Dylan O'Brien,6.62,3,2,13.21662
nm2552034,"['Melissa Benoist', 'J.K. Simmons']",Melissa Benoist,7.633333333333333,3,1,8.366823
