actorId,connection,common_movies
nm1567113,"['nm0350453', 'nm0005377', 'nm2225369', 'nm1631269', 'nm0695435', 'nm0000354', 'nm1089991', 'nm0252961', 'nm0000982', 'nm1165110', 'nm0000234', 'nm0564215', 'nm0000093', 'nm0290556', 'nm1055413', 'nm1567113', 'nm0788335']","['The Division', 'Woman Walks Ahead', 'X-Men: Dark Phoenix', 'Texas Killing Fields', 'Zero Dark Thirty', 'The Martian', 'Crimson Peak', ""Molly's Game"", 'George and Tammy', ""The Huntsman: Winter's War"", ""The Huntsman: Winter's War"", 'The Disappearance of Eleanor Rigby: Him', 'The Tree of Life', 'The Color of Time', 'X-Men: Dark Phoenix', 'None', 'Take Shelter']"
nm0829576,"['nm1631269', 'nm1165110', 'nm0000234', 'nm0829576', 'nm0266824', 'nm0788335']","['Clouds of Sils Maria', 'Snow White and the Huntsman', 'Snow White and the Huntsman', 'None', 'The Runaways', 'The Runaways']"
nm0564215,"['nm2539953', 'nm2225369', 'nm0000136', 'nm0000705', 'nm0705356', 'nm0000168', 'nm0000246', 'nm0000234', 'nm0564215', 'nm0000151', 'nm1055413', 'nm1567113', 'nm0001401', 'nm0413168']","['Submergence', 'X-Men: First Class', 'Sherlock Gnomes', 'The Conspirator', 'Victor Frankenstein', 'Glass', 'Glass', 'Atomic Blonde', 'None', 'Wanted', 'X-Men: First Class', 'The Disappearance of Eleanor Rigby: Him', 'Wanted', 'X-Men: Days of Future Past']"
nm0004874,"['nm0000098', 'nm0425005', 'nm0695435', 'nm0000168', 'nm0005458', 'nm0004874']","['The Iron Giant', 'The Fate of the Furious', 'Guardians of the Galaxy', 'xXx', 'The Fate of the Furious', 'None']"
nm0447695,"['nm0000123', 'nm1374980', 'nm0350453', 'nm0000098', 'nm0005377', 'nm0799777', 'nm0000255', 'nm0447695']","['Up in the Air', 'Mike and Dave Need Wedding Dates', 'End of Watch', 'Cake', 'Mr. Right', 'The Accountant', 'The Accountant', 'None']"
nm0000705,"['nm0000198', 'nm0000237', 'nm0000705', 'nm0000168', 'nm0000213', 'nm0000154', 'nm0000246', 'nm0000201', 'nm0564215', 'nm0000151', 'nm0000093', 'nm0000375', 'nm1046097', 'nm0000158', 'nm0001401']","['State of Grace', ""She's So Lovely"", 'None', 'Unbreakable', 'The Private Lives of Pippa Lee', 'The Singing Detective', 'Unbreakable', 'White Oleander', 'The Conspirator', 'Moll Flanders', 'Moneyball', 'The Singing Detective', 'A Most Wanted Man', 'Forrest Gump', 'Beowulf']"
nm1046097,"['nm0350453', 'nm1212722', 'nm0000705', 'nm0749263', 'nm1297015', 'nm0000255', 'nm0000375', 'nm1046097', 'nm0000148']","['Southpaw', 'Doctor Strange', 'A Most Wanted Man', 'Spotlight', 'Aloha', 'State of Play', 'Sherlock Holmes 3', 'None', 'Morning Glory']"
nm1055413,"['nm2539953', 'nm2225369', 'nm0000191', 'nm0000460', 'nm0000982', 'nm0004851', 'nm0000234', 'nm0564215', 'nm0000204', 'nm0000093', 'nm1055413', 'nm1567113', 'nm0147147', 'nm0000216']","['The Light Between Oceans', 'X-Men: First Class', 'Haywire', ""Assassin's Creed"", 'Jonah Hex', 'The Counselor', 'Prometheus', 'X-Men: First Class', 'Song to Song', '12 Years a Slave', 'None', 'X-Men: Dark Phoenix', 'Blood Creek', 'Kung Fury']"
nm1631269,"['nm1374980', 'nm0005377', 'nm0126284', 'nm1631269', 'nm0000234', 'nm0829576', 'nm1567113', 'nm0000115']","['Neighbors 2: Sorority Rising', 'Laggies', 'I Love You, Daddy', 'None', 'Dark Places', 'Clouds of Sils Maria', 'Texas Killing Fields', 'Kick-Ass']"
nm0262635,"['nm0000206', 'nm0126284', 'nm0424060', 'nm0749263', 'nm0000178', 'nm0000168', 'nm0000213', 'nm0252961', 'nm1165110', 'nm0005458', 'nm0262635', 'nm0004695', 'nm0000375', 'nm0290556', 'nm0266824', 'nm0788335']","['Street Kings', 'Sunshine', 'Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Fierce People', 'Captain America: The Winter Soldier', 'The Iceman', 'The Losers', 'Avengers: Age of Ultron', 'Cellular', 'None', 'Fantastic Four', 'The Avengers', 'The Iceman', 'Push', 'The Iceman']"
nm0266824,"['nm0000191', 'nm0000178', 'nm0000201', 'nm0262635', 'nm0829576', 'nm0266824', 'nm0000210', 'nm0000129', 'nm0788335']","['American Pastoral', 'Every Secret Thing', 'I Am Sam', 'Push', 'The Runaways', 'None', ""Charlotte's Web"", 'War of the Worlds', 'The Runaways']"
nm0126284,"['nm1374980', 'nm0126284', 'nm1631269', 'nm0799777', 'nm0005458', 'nm0262635', 'nm0000242', 'nm0000115']","['Neighbors', 'None', 'I Love You, Daddy', 'The Meddler', 'Spy', 'Sunshine', 'Instant Family', 'Knowing']"
nm2225369,"['nm2225369', 'nm0695435', 'nm0000201', 'nm0564215', 'nm1055413', 'nm1567113']","['None', 'Passengers', 'Mother!', 'X-Men: First Class', 'X-Men: First Class', 'X-Men: Dark Phoenix']"
nm1212722,"['nm2539953', 'nm0350453', 'nm0785227', 'nm0000136', 'nm1212722', 'nm0000949', 'nm1046097', 'nm0788335']","['The Fifth Estate', 'Rio', 'Mowgli', 'Black Mass', 'None', 'Mowgli', 'Doctor Strange', 'The Current War']"
nm0001570,"['nm0001570', 'nm0000354', 'nm0000246', 'nm0000234', 'nm0000226', 'nm0000093', 'nm0000170', 'nm0000210', 'nm0000242']","['None', 'Rounders', 'Motherless Brooklyn', 'The Italian Job', 'Collateral Beauty', 'Fight Club', 'Stone', 'Everyone Says I Love You', 'The Italian Job']"
nm0252961,"['nm0252961', 'nm0124930', 'nm0262635', 'nm1567113', 'nm0000115']","['None', 'RocknRolla', 'The Losers', ""Molly's Game"", 'Ghost Rider: Spirit of Vengeance']"
nm0004695,"['nm0000161', 'nm0000213', 'nm0000982', 'nm0000154', 'nm0000246', 'nm0005458', 'nm0262635', 'nm0004695', 'nm0000210', 'nm0000112']","['Some Kind of Beautiful', 'The Ten', 'Sin City: A Dame to Kill For', 'Machete Kills', 'Sin City', 'Mechanic: Resurrection', 'Fantastic Four', 'None', ""Valentine's Day"", 'Some Kind of Beautiful']"
nm0705356,"['nm0000206', 'nm0935541', 'nm0914612', 'nm0705356', 'nm0564215']","['The Modern Ocean', 'Swiss Army Man', 'Harry Potter and the Prisoner of Azkaban', 'None', 'Victor Frankenstein']"
nm2539953,"['nm2539953', 'nm0000191', 'nm1212722', 'nm0000460', 'nm0000354', 'nm0564215', 'nm1200692', 'nm1055413', 'nm0147147']","['None', 'Son of a Gun', 'The Fifth Estate', 'Birds Like Us', 'Jason Bourne', 'Submergence', 'Euphoria', 'The Light Between Oceans', 'The Man from U.N.C.L.E.']"
nm1297015,"['nm0799777', 'nm1297015', 'nm1046097', 'nm0000115']","['La La Land', 'None', 'Aloha', 'The Croods']"
nm0001337,"['nm0124930', 'nm0001337', 'nm0000553']","['The Ugly Truth', 'None', 'The Nut Job']"
nm0068338,"['nm0068338', 'nm0000234', 'nm0383603', 'nm0000115']","['None', 'Astro Boy', 'Astro Boy', 'Astro Boy']"
nm1374980,"['nm1374980', 'nm0425005', 'nm0126284', 'nm1631269', 'nm0000132', 'nm0447695', 'nm0413168']","['None', 'Baywatch', 'Neighbors', 'Neighbors 2: Sorority Rising', 'Me and Orson Welles', 'Mike and Dave Need Wedding Dates', 'The Greatest Showman']"
nm0000132,"['nm1374980', 'nm0000132', 'nm0000354', 'nm0000213', 'nm0000201', 'nm0000216', 'nm0000138']","['Me and Orson Welles', 'None', 'The Rainmaker', 'Little Women', 'To Gillian on Her 37th Birthday', 'Terminator 3: Rise of the Machines', 'Romeo + Juliet']"
nm0785227,"['nm0000198', 'nm0785227', 'nm1212722', 'nm0749263', 'nm0000949', 'nm0000234', 'nm0185819', 'nm0290556']","['Dawn of the Planet of the Apes', 'None', 'Mowgli', '13 Going on 30', 'Mowgli', 'Flarsky', 'The Adventures of Tintin', 'Rise of the Planet of the Apes']"
nm0695435,"['nm2225369', 'nm0695435', 'nm0004874', 'nm1567113']","['Passengers', 'None', 'Guardians of the Galaxy', 'Zero Dark Thirty']"
nm0001467,"['nm0350453', 'nm0425005', 'nm0000161', 'nm0000237', 'nm0001467', 'nm0000226', 'nm0000115']","['Highway', 'Suicide Squad 2', 'Lonely Hearts', 'Lonely Hearts', 'None', 'Suicide Squad', 'Lord of War']"
nm1200692,"['nm2539953', 'nm0000191', 'nm0000136', 'nm0000168', 'nm0000201', 'nm0185819', 'nm0000553', 'nm1200692']","['Euphoria', 'Perfect Sense', 'Dark Shadows', ""Miss Peregrine's Home for Peculiar Children"", 'Dark Shadows', 'Casino Royale', 'Kingdom of Heaven', 'None']"
nm1165110,"['nm0749263', 'nm1089991', 'nm0000982', 'nm1165110', 'nm0000949', 'nm0000234', 'nm0000204', 'nm0262635', 'nm0000375', 'nm0829576', 'nm1567113', 'nm0788335', 'nm0000293']","['Thor: Ragnarok', 'Thor', 'Untitled Avengers Movie', 'None', 'Thor: Ragnarok', ""The Huntsman: Winter's War"", 'Thor', 'Avengers: Age of Ultron', 'Avengers: Age of Ultron', 'Snow White and the Huntsman', ""The Huntsman: Winter's War"", '12 Strong', 'Ca$h']"
nm0383603,"['nm0068338', 'nm0000136', 'nm0000234', 'nm0383603', 'nm0000115']","['Astro Boy', 'Charlie and the Chocolate Factory', 'Astro Boy', 'None', 'Astro Boy']"
nm0914612,"['nm0914612', 'nm0705356', 'nm0000163', 'nm0000158']","['None', 'Harry Potter and the Prisoner of Azkaban', 'The Tale of Despereaux', 'The Circle']"
nm0935541,"['nm0935541', 'nm0705356', 'nm0000246', 'nm0000226']","['None', 'Swiss Army Man', 'A Good Day to Die Hard', 'Gemini Man']"
nm1089991,"['nm0749263', 'nm0000460', 'nm0000168', 'nm1089991', 'nm1165110', 'nm0000949', 'nm0000204', 'nm1567113']","['Thor: Ragnarok', 'High-Rise', 'Kong: Skull Island', 'None', 'Thor', 'Thor: Ragnarok', 'Thor', 'Crimson Peak']"
nm1020089,"['nm1020089', 'nm0000949', 'nm0788335']","['None', 'Blue Jasmine', 'The Shape of Water']"
nm0147147,"['nm2539953', 'nm0000178', 'nm0000255', 'nm0000246', 'nm1055413', 'nm0147147', 'nm0788335']","['The Man from U.N.C.L.E.', 'Man of Steel', 'Justice League Part Two', 'The Cold Light of Day', 'Blood Creek', 'None', 'Man of Steel']"
nm3729721,['nm3729721'],['None']
nm2552034,"['nm2552034', 'nm0799777']","['None', 'Whiplash']"
