actorId,connection,common_movies
nm0000237,"['nm0000246', 'nm0000201', 'nm0424060', 'nm0000168', 'nm0413168', 'nm0425005', 'nm0000161', 'nm0000237', 'nm0000705', 'nm0000163', 'nm0001467', 'nm0000115']","['Pulp Fiction', 'Hairspray', 'A Love Song for Bobby Long', 'Basic', 'Swordfish', 'Be Cool', 'Lonely Hearts', 'None', ""She's So Lovely"", 'Mad City', 'Lonely Hearts', 'Face/Off']"
nm0000158,"['nm0799777', 'nm0000246', 'nm0000138', 'nm0000113', 'nm0000210', 'nm0000191', 'nm0914612', 'nm0000354', 'nm0000158', 'nm0000705', 'nm0000234']","['The Ladykillers', 'The Bonfire of the Vanities', 'Catch Me If You Can', 'Extremely Loud & Incredibly Close', 'Larry Crowne', 'Angels & Demons', 'The Circle', 'Saving Private Ryan', 'None', 'Forrest Gump', 'That Thing You Do!']"
nm0000230,"['nm0000216', 'nm0000113', 'nm0005458', 'nm0000230']","['Escape Plan', 'Demolition Man', 'The Expendables 3', 'None']"
nm0000354,"['nm2539953', 'nm0000132', 'nm0000255', 'nm0004851', 'nm0000093', 'nm0000553', 'nm0000138', 'nm0424060', 'nm0000210', 'nm0001401', 'nm0000899', 'nm0000123', 'nm0001570', 'nm0749263', 'nm0000354', 'nm0000982', 'nm0000226', 'nm0000151', 'nm0000242', 'nm0000158', 'nm0000949', 'nm0000234', 'nm1567113']","['Jason Bourne', 'The Rainmaker', 'Good Will Hunting', 'All the Pretty Horses', ""Ocean's Eleven"", 'Ponyo', 'The Departed', 'We Bought a Zoo', ""Ocean's Eleven"", 'The Good Shepherd', 'The Brothers Grimm', ""Ocean's Eleven"", 'Rounders', 'Margaret', 'None', 'True Grit', 'The Legend of Bagger Vance', 'Invictus', 'The Departed', 'Saving Private Ryan', 'The Monuments Men', 'The Legend of Bagger Vance', 'The Martian']"
nm0000112,"['nm0004695', 'nm0000553', 'nm0000293', 'nm0000170', 'nm0000191', 'nm0000161', 'nm0124930', 'nm0000112']","['Some Kind of Beautiful', 'Seraphim Falls', 'GoldenEye', 'Survivor', 'The Ghost Writer', 'Some Kind of Beautiful', 'Shattered', 'None']"
nm0000142,"['nm0000553', 'nm0000151', 'nm0000142']","['The Dead Pool', 'Million Dollar Baby', 'None']"
nm0004851,"['nm0001191', 'nm0004851', 'nm0000375', 'nm1055413', 'nm0000161', 'nm0000136', 'nm0000354', 'nm0000242', 'nm0000129', 'nm0000234', 'nm0000115']","['Der Weg des Ruhms', 'None', 'Gothika', 'The Counselor', 'Bandidas', 'Blow', 'All the Pretty Horses', 'Der Weg des Ruhms', 'Vanilla Sky', 'Head in the Clouds', ""Captain Corelli's Mandolin""]"
nm0000375,"['nm0000154', 'nm0004851', 'nm1165110', 'nm0000375', 'nm1046097', 'nm0350453', 'nm0424060', 'nm0749263', 'nm0000213', 'nm0262635', 'nm0000206', 'nm0000705', 'nm0000163']","['Air America', 'Gothika', 'Avengers: Age of Ultron', 'None', 'Sherlock Holmes 3', 'Zodiac', 'Captain America: Civil War', 'Zodiac', 'A Scanner Darkly', 'The Avengers', 'A Scanner Darkly', 'The Singing Detective', 'Chef']"
nm0000210,"['nm0799777', 'nm0000154', 'nm0000204', 'nm0000093', 'nm0004695', 'nm0000553', 'nm0266824', 'nm0000210', 'nm0000123', 'nm0001570', 'nm0000354', 'nm0000158', 'nm0000098', 'nm0005377', 'nm0000163', 'nm0000115']","['The Mexican', 'Conspiracy Theory', 'Closer', ""Ocean's Eleven"", ""Valentine's Day"", 'Michael Collins', ""Charlotte's Web"", 'None', ""Ocean's Eleven"", 'Everyone Says I Love You', ""Ocean's Eleven"", 'Larry Crowne', ""Mother's Day"", 'Confessions of a Dangerous Mind', 'Hook', 'The Ant Bully']"
nm0000949,"['nm0785227', 'nm1089991', 'nm0000246', 'nm1165110', 'nm0000204', 'nm0000093', 'nm0000553', 'nm0000138', 'nm0000113', 'nm1020089', 'nm0001401', 'nm0000123', 'nm0749263', 'nm0000354', 'nm0124930', 'nm0000148', 'nm0000206', 'nm1212722', 'nm0000949']","['Mowgli', 'Thor: Ragnarok', 'Bandits', 'Thor: Ragnarok', 'Knight of Cups', 'Babel', 'Ponyo', 'The Aviator', ""Ocean's 8"", 'Blue Jasmine', 'Pushing Tin', 'The Good German', 'Thor: Ragnarok', 'The Monuments Men', 'How to Train Your Dragon 3', 'Indiana Jones and the Kingdom of the Crystal Skull', 'The Gift', 'Mowgli', 'None']"
nm0000199,"['nm0001191', 'nm0000201', 'nm0000199', 'nm0000136', 'nm0000206', 'nm0000460', 'nm0000234']","['Jack and Jill', 'Frankie and Johnny', 'None', 'Donnie Brasco', ""The Devil's Advocate"", 'The Merchant of Venice', ""The Devil's Advocate""]"
nm0000198,"['nm0785227', 'nm0000246', 'nm0000204', 'nm0000168', 'nm0000170', 'nm0362766', 'nm0000198', 'nm0000213', 'nm0124930', 'nm0000148', 'nm0000206', 'nm0000705']","['Dawn of the Planet of the Apes', 'The Fifth Element', 'Léon: The Professional', ""The Hitman's Bodyguard"", 'The Fifth Element', 'Child 44', 'None', ""Bram Stoker's Dracula"", 'Hunter Killer', 'Air Force One', ""Bram Stoker's Dracula"", 'State of Grace']"
nm0000093,"['nm0799777', 'nm0000246', 'nm0000201', 'nm0000093', 'nm1055413', 'nm0005458', 'nm0000210', 'nm0001401', 'nm0000123', 'nm0001570', 'nm0000354', 'nm0000151', 'nm0000148', 'nm0000129', 'nm0000705', 'nm0000949', 'nm1567113']","['The Mexican', 'Twelve Monkeys', 'Sinbad: Legend of the Seven Seas', 'None', '12 Years a Slave', 'Snatch', ""Ocean's Eleven"", 'By the Sea', ""Ocean's Eleven"", 'Fight Club', ""Ocean's Eleven"", 'Se7en', ""The Devil's Own"", 'Interview with the Vampire: The Vampire Chronicles', 'Moneyball', 'Babel', 'The Tree of Life']"
nm0425005,"['nm1374980', 'nm0005458', 'nm0425005', 'nm0000237', 'nm0000226', 'nm0004874', 'nm0000242', 'nm0001467']","['Baywatch', 'The Fate of the Furious', 'None', 'Be Cool', 'Suicide Squad 2', 'The Fate of the Furious', 'Pain & Gain', 'Suicide Squad 2']"
nm0000242,"['nm0799777', 'nm0001191', 'nm0000154', 'nm0004851', 'nm0000138', 'nm0000178', 'nm0000123', 'nm0425005', 'nm0126284', 'nm0001570', 'nm0000354', 'nm0001084', 'nm0000242', 'nm0000098', 'nm0000234']","['Patriots Day', 'Der Weg des Ruhms', ""Daddy's Home 2"", 'Der Weg des Ruhms', 'The Departed', 'The Perfect Storm', 'Three Kings', 'Pain & Gain', 'Instant Family', 'The Italian Job', 'The Departed', 'Three Kings', 'None', 'Rock Star', 'The Italian Job']"
nm0000154,"['nm0000154', 'nm0000201', 'nm0004695', 'nm0000375', 'nm0000170', 'nm0000210', 'nm0000242', 'nm0000705']","['None', 'Tequila Sunrise', 'Machete Kills', 'Air America', 'The Million Dollar Hotel', 'Conspiracy Theory', ""Daddy's Home 2"", 'The Singing Detective']"
