actorId,primaryName,validCount,averRating,averVote
nm0719298,Filip Renc,5,6.0200000000000005,183.8
nm0528611,Ann Lynn,9,6.4,183.77777777777777
nm2188094,Sabry Fawwaz,4,5.7250000000000005,183.75
nm0044918,Paul Babiak,4,5.975,183.75
nm1417931,Geneva Carr,7,5.228571428571429,183.71428571428572
nm0242523,Carolyn Dunn,3,6.066666666666666,183.66666666666666
nm1631384,Emmett J Scanlan,6,5.3500000000000005,183.66666666666666
nm0753600,Tanjalotta Räikkä,3,5.2,183.66666666666666
nm2059001,Liz Solari,3,4.366666666666667,183.66666666666666
nm0897514,Paulo Vilhena,3,5.433333333333334,183.66666666666666
nm0600120,Ovidi Montllor,18,5.76111111111111,183.61111111111111
nm0008127,Ashraf Abdel Baqi,20,5.254999999999999,183.6
nm0802700,Gaowa Siqin,20,6.63,183.6
nm0092128,Michael Bohnen,10,6.45,183.6
nm7699287,Haydar Salishz,5,7.62,183.6
nm0344802,Dorka Gryllus,12,5.625,183.58333333333334
nm0887695,James Van Patten,9,4.7,183.55555555555554
nm0006348,Rajendra Kumar,59,6.644067796610169,183.54237288135593
nm0409401,Miquel Insua,4,6.675,183.5
nm0901673,Vladimir Volodin,6,6.683333333333333,183.5
nm2007000,Jim Ford,4,6.125,183.5
nm0906718,Mayumi Wakamura,4,6.5249999999999995,183.5
nm0451131,Juliano Mer-Khamis,9,6.233333333333333,183.44444444444446
nm0350044,Daniel Guzmán,9,6.233333333333334,183.44444444444446
nm0380304,Marcel Herrand,16,6.562500000000001,183.4375
nm2026965,Hector Kotsifakis,5,6.279999999999999,183.4
nm0674756,Marco Perrin,5,5.0,183.4
nm0354484,Malgorzata Hajewska,3,6.3,183.33333333333334
nm1701602,Justine Wachsberger,3,7.3,183.33333333333334
nm4901194,Paula Ribó,3,4.566666666666666,183.33333333333334
nm9048868,Walter Quiroz,6,6.866666666666667,183.33333333333334
nm3518961,Kai-Chung Cheung,7,6.371428571428572,183.28571428571428
nm6174391,Sennalkudi Lakshmi,15,7.279999999999999,183.26666666666668
nm0492439,Betty Lawford,4,6.425000000000001,183.25
nm0327602,Pedro Gonzalez Gonzalez,4,5.6499999999999995,183.25
nm0014311,Christopher Ahrens,4,5.5249999999999995,183.25
nm0474428,Viktor Kulakov,5,7.26,183.2
nm0155072,Alida Chelli,6,5.433333333333334,183.16666666666666
nm0012734,Yves Afonso,12,5.699999999999999,183.16666666666666
nm3558237,Nahed El Sebaï,7,6.171428571428571,183.14285714285714
nm0651636,Debbie Osborne,7,4.614285714285715,183.14285714285714
nm0249893,Cliff Edwards,28,6.289285714285714,183.07142857142858
nm1004575,Aditya Lakhia,5,4.640000000000001,183.0
nm0108099,Joyce Brew,3,5.7,183.0
nm0460388,Leonid Kmit,8,7.275,183.0
